OBS-ID,Spectral WL,Raster step,Raster FOV,Spectral cadence,SJI WL,SJI cad,SJI FOV,Description,Total Datarate (Mbit/s)
57,default,0.33,0.33x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 2-step raster,0
58,default,1,1x60,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 2-step raster,0
59,default,1,1x120,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 2-step raster,0
60,default,1,1x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 2-step raster,0
61,default,2,2x60,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 2-step raster,0
62,default,2,2x120,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 2-step raster,0
63,default,2,2x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 2-step raster,0
64,default,0.33,1x30,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small dense 4-step raster,0
65,default,0.33,1x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 4-step raster,0
66,default,0.33,1x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 4-step raster,0
67,default,1,3x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 4-step raster,0
68,default,1,3x120,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 4-step raster,0
69,default,1,3x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 4-step raster,0
70,default,2,6x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 4-step raster,0
71,default,2,6x120,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 4-step raster,0
